Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,11086.000000,11086.849609,10650.070313,10712.839844,10712.839844,126835600
2020-02-25,10749.589844,10779.150391,10467.209961,10478.509766,10478.509766,102515000
2020-02-26,10405.299805,10546.669922,10216.549805,10512.150391,10512.150391,114156000
2020-02-27,10456.820313,10461.169922,10094.919922,10205.459961,10205.459961,144743200
2020-02-28,10205.459961,10205.459961,9725.320313,9831.030273,9831.030273,183600400
2020-03-02,9844.269531,10136.620117,9790.419922,9950.830078,9950.830078,155090700
2020-03-03,9999.519531,10286.290039,9990.610352,10087.400391,10087.400391,139053100
2020-03-04,10128.759766,10296.030273,10072.230469,10251.389648,10251.389648,103471100
2020-03-05,10303.759766,10321.419922,10045.099609,10143.570313,10143.570313,106754000
2020-03-06,10139.780273,10142.309570,9652.509766,9736.820313,9736.820313,142806600
2020-03-09,9736.820313,9736.820313,9059.110352,9196.599609,9196.599609,223193300
2020-03-10,9247.639648,9576.040039,9150.540039,9195.929688,9195.929688,194117000
2020-03-11,9256.450195,9373.919922,9130.190430,9152.500000,9152.500000,146253700
2020-03-12,9152.500000,9152.500000,8168.859863,8270.440430,8270.440430,265737700
2020-03-13,8367.559570,8367.559570,8367.559570,8367.559570,8367.559570,231711800
2020-03-16,8360.089844,8391.209961,7650.229980,8227.080078,8227.080078,203959400
2020-03-17,8227.080078,8627.480469,7953.529785,8493.040039,8493.040039,154196900
2020-03-18,8493.040039,8493.040039,8094.899902,8338.740234,8338.740234,211120400
2020-03-19,8361.089844,8782.240234,8327.860352,8782.240234,8782.240234,187655200
2020-03-20,8782.150391,9174.580078,8623.860352,8623.860352,8623.860352,255263700
2020-03-23,8623.860352,8642.419922,8160.790039,8160.790039,8160.790039,150096400
2020-03-24,8187.509766,8733.320313,8187.020020,8733.320313,8733.320313,140992000
2020-03-25,8772.019531,9136.830078,8664.440430,8989.160156,8989.160156,148616700
2020-03-26,8895.179688,9203.980469,8824.160156,9203.980469,9203.980469,125626100
2020-03-27,9174.950195,9192.969727,8868.049805,8996.370117,8996.370117,110296800
2020-03-30,9047.709961,9174.389648,8866.349609,9174.389648,9174.389648,94710900
2020-03-31,9184.780273,9370.849609,9155.110352,9311.919922,9311.919922,107286200
2020-04-01,9311.919922,9311.919922,9036.730469,9168.980469,9168.980469,88894800
2020-04-02,9212.089844,9318.610352,9075.150391,9270.959961,9270.959961,83439000
2020-04-03,9281.330078,9309.870117,9219.099609,9242.440430,9242.440430,70420600
2020-04-06,9259.730469,9522.110352,9259.089844,9462.339844,9462.339844,81874800
2020-04-07,9470.480469,9695.839844,9450.750000,9514.599609,9514.599609,98119700
2020-04-08,9427.410156,9452.940430,9350.219727,9432.389648,9432.389648,70188800
2020-04-09,9465.860352,9550.370117,9321.929688,9452.830078,9452.830078,96880600
2020-04-14,9507.459961,9613.769531,9499.230469,9538.610352,9538.610352,78263800
2020-04-15,9529.679688,9568.099609,9309.940430,9320.200195,9320.200195,82825400
2020-04-16,9416.200195,9474.799805,9381.200195,9439.910156,9439.910156,89572200
2020-04-17,9455.160156,9663.030273,9453.660156,9612.830078,9612.830078,116140800
2020-04-20,9669.320313,9785.269531,9583.669922,9785.269531,9785.269531,67252200
2020-04-21,9734.959961,9762.740234,9544.469727,9547.849609,9547.849609,73150200
2020-04-22,9620.889648,9650.580078,9566.540039,9630.559570,9630.559570,62898100
2020-04-23,9625.750000,9701.599609,9529.990234,9625.480469,9625.480469,75278400
